IDD	0	-60	2
IDD	0	-49	1
IDD	0	-40	1
IDD	0	-36	1
IDD	0	-31	1
IDD	0	-30	2
IDD	0	-29	1
IDD	0	-28	1
IDD	0	-24	1
IDD	0	-20	2
IDD	0	-19	2
IDD	0	-18	2
IDD	0	-17	4
IDD	0	-16	4
IDD	0	-15	2
IDD	0	-14	5
IDD	0	-13	1
IDD	0	-12	4
IDD	0	-11	10
IDD	0	-10	9
IDD	0	-9	5
IDD	0	-8	7
IDD	0	-7	3
IDD	0	-6	28
IDD	0	-5	19
IDD	0	-4	42
IDD	0	-3	17
IDD	0	-2	50
IDD	0	-1	82
IDD	0	1	80
IDD	0	2	74
IDD	0	3	28
IDD	0	4	52
IDD	0	5	13
IDD	0	6	24
IDD	0	7	3
IDD	0	8	12
IDD	0	9	4
IDD	0	10	18
IDD	0	11	5
IDD	0	12	10
IDD	0	14	5
IDD	0	16	14
IDD	0	17	1
IDD	0	18	8
IDD	0	22	2
IDD	0	24	7
IDD	0	25	1
IDD	0	26	1
IDD	0	30	1
IDD	0	43	1
